Timestamp;EURAEDFIXMP=WM;EURBAMFIXMP=WM;EURCNYFIXMP=WM;EURILSFIXMP=WM;EURINRFIXMP=WM;EURJODFIXMP=WM;EURKESFIXMP=WM;EURKRWFIXMP=WM;EURKWDFIXMP=WM;EURMADFIXMP=WM;EURMDLFIXMP=WM;EURMKDFIXMP=WM;EURMXNFIXMP=WM;EURPHPFIXMP=WM;EURRSDFIXMP=WM;EURSARFIXMP=WM;EURTHBFIXMP=WM;EURTNDFIXMP=WM;EURTWDFIXMP=WM
2025-08-19 10:00:00;4,2901;;8,3871;3,9476;101,5764;0,8279;150,94;1623,23;0,357;10,5304;;61,6048;21,9463;66,7181;117,1733;4,3832;37,9647;3,3648;35,1743
2025-08-19 11:00:00;4,2926;;8,3904;3,9496;101,6373;0,8284;151,03;1623,17;0,3572;10,533;;61,6049;21,9508;66,7581;117,1733;4,3857;37,9711;3,3671;35,1954
2025-08-20 10:00:00;4,2771;;8,3582;3,9607;101,4019;0,8257;150,45;1628,39;0,356;10,5068;;61,606;21,8966;66,3718;117,182;4,371;37,9045;3,358;35,268
2025-08-20 11:00:00;4,2775;;8,3576;3,9602;101,4106;0,8256;150,47;1629,59;0,356;10,5079;;61,6055;21,9014;66,3775;117,1826;4,3714;37,9147;3,3578;35,2711
2025-08-21 10:00:00;4,2816;;8,3674;3,9831;101,7165;0,8262;150,63;1629,3;0,3563;10,4963;;61,5947;21,8897;66,49;117,1884;4,375;38,0193;3,3571;35,5667
2025-08-21 11:00:00;4,2789;;8,3627;3,982;101,6555;0,8258;150,52;1629,03;0,3561;10,49;;61,5918;21,8848;66,4501;117,1857;4,3723;38,0303;3,3561;35,5453
2025-08-22 10:00:00;4,2596;;8,3264;3,9459;101,5147;0,822;149,83;1613,86;0,3548;10,4986;;61,5921;21,737;66,0391;117,1803;4,3517;37,8572;3,3708;35,4567
2025-08-22 11:00:00;4,2592;;8,3249;3,9444;101,5059;0,8219;149,82;1613,1;0,3548;10,4982;;61,5946;21,7124;66,0334;117,1866;4,3513;37,8447;3,3705;35,4536
2025-08-25 10:00:00;4,2944;;8,3674;3,9552;102,423;0,8287;151,05;1622,83;0,3571;10,5306;;61,5836;21,8027;66,3039;117,1617;4,387;37,9347;3,3655;35,5986
2025-08-25 11:00:00;4,2925;;8,364;3,9507;102,3792;0,8284;150,98;1621,73;0,3569;10,5287;;61,5809;21,7964;66,2756;117,1616;4,3851;37,9302;3,3647;35,5834
2025-08-26 10:00:00;4,276;;8,336;3,93;102,0934;0,8253;150,41;1625,05;0,3558;10,5273;;61,5723;21,7149;66,4537;117,1893;4,3682;37,8284;3,3699;35,5838
2025-08-26 11:00:00;4,2767;;8,3376;3,9216;102,1109;0,8254;150,44;1625,34;0,3559;10,5172;;61,5722;21,7225;66,4651;117,1868;4,3688;37,8348;3,3651;35,5899
2025-08-27 10:00:00;4,2574;;8,3016;3,8781;101,6394;0,8218;149,76;1620,21;0,3545;10,4981;;61,5707;21,6979;66,2936;117,1879;4,3505;37,6429;3,3579;35,4603
2025-08-27 11:00:00;4,2536;;8,2948;3,8741;101,5517;0,8211;149,63;1619,36;0,3543;10,4913;;61,5721;21,695;66,2364;117,1834;4,3467;37,6336;3,3566;35,4298
2025-08-28 10:00:00;4,2787;;8,3075;3,8696;102,0854;0,8256;150,51;1615,45;0,3559;10,5222;;61,8575;21,7353;66,4985;117,188;4,3713;37,7101;3,3662;35,5947
2025-08-28 11:00:00;4,2866;;8,3231;3,8847;102,2782;0,8271;150,79;1616,87;0,3566;10,529;;61,9743;21,7432;66,6241;117,1834;4,3794;37,7569;3,3732;35,6619
2025-08-29 10:00:00;4,2879;;8,3281;3,8967;103,01;0,8273;150,83;1624,85;0,3568;10,5297;;61,5677;21,8319;66,7104;117,1803;4,3807;37,8172;3,3839;35,6889
2025-08-29 11:00:00;4,2853;;8,3224;3,8955;102,9438;0,8267;150,74;1623,51;0,3566;10,5221;;61,5657;21,7987;66,6676;117,1804;4,3779;37,8139;3,3825;35,666
2025-09-01 10:00:00;4,3048;;8,3608;3,9256;103,3633;0,8307;151,42;1632,71;0,3581;10,5398;;61,5738;21,8215;67,0602;117,1798;4,3982;37,865;3,3865;35,8995
2025-09-01 11:00:00;4,3048;;8,3618;3,926;103,3633;0,8307;151,42;1632,97;0,3581;10,5398;;61,5732;21,8082;67,0602;117,1793;4,3982;37,8509;3,3913;35,8995
2025-09-02 10:00:00;4,2749;;8,3176;3,9464;102,5996;0,8252;150,36;1623,01;0,3561;10,5146;;61,5778;21,8344;66,925;117,1771;4,367;37,6978;3,3843;35,7461
2025-09-02 11:00:00;4,2727;;8,3116;3,9401;102,5467;0,8248;150,29;1622,82;0,3559;10,5227;;61,5699;21,8462;66,8905;117,1729;4,3647;37,6819;3,383;35,7277
2025-09-03 10:00:00;4,2825;;8,3288;3,9262;102,6758;0,8264;150,55;1619,76;0,3566;10,57;;61,5703;21,8057;66,8165;117,1667;4,3749;37,7022;3,387;35,8021
2025-09-03 11:00:00;4,2777;;8,3219;3,926;102,5613;0,8255;150,38;1618,61;0,3563;10,5869;;61,5562;21,7941;66,742;117,1655;4,3699;37,687;3,3834;35,7622
2025-09-04 10:00:00;4,2764;;8,3127;3,9157;102,6297;0,8252;150,43;1623,23;0,3561;10,5912;;61,5224;21,8477;66,4693;117,1626;4,3685;37,6479;3,382;35,7351
2025-09-04 11:00:00;4,2808;;8,3221;3,9211;102,7354;0,826;150,58;1623,78;0,3564;10,5905;;61,5438;21,8634;66,5378;117,1603;4,373;37,6587;3,3855;35,772
2025-09-05 10:00:00;4,2926;;8,3423;3,9032;103,1451;0,8281;150,94;1624,79;0,3573;10,6161;;61,5907;21,8266;66,5381;117,1837;4,3851;37,624;3,4004;35,712
2025-09-05 11:00:00;4,2952;;8,3471;3,9035;103,2069;0,8286;151,03;1625,73;0,3575;10,6172;;61,6025;21,8402;66,5779;117,1895;4,3877;37,6336;3,4018;35,7334
2025-09-08 10:00:00;4,3066;;8,3602;3,9011;103,4805;0,831;151,5;1629,13;0,3582;10,6029;;61,5496;21,9191;66,4975;117,1517;4,3992;37,3676;3,4029;35,6991
2025-09-08 11:00:00;4,3073;;8,3619;3,899;103,4982;0,8311;151,52;1629,53;0,3582;10,5979;;61,5601;21,9094;66,5089;117,155;4,4;37,2872;3,4035;35,7052
2025-09-09 10:00:00;4,3229;;8,3809;3,9255;103,7177;0,8343;152,06;1630,11;0,3592;10,5747;;61,5496;21,8826;67,0805;117,1672;4,4151;37,2654;3,4112;35,6942
2025-09-09 11:00:00;4,3171;;8,3697;3,9196;103,5811;0,8332;151,86;1628,58;0,3587;10,5678;;61,5269;21,857;66,9921;117,1766;4,4092;37,2139;3,4092;35,6472
2025-09-10 10:00:00;4,3026;;8,3415;3,9074;103,1979;0,8305;151,34;1626,34;0,3579;10,566;;61,5622;21,8288;66,9087;117,1545;4,3955;37,2236;3,4088;35,4794
2025-09-10 11:00:00;4,2976;;8,3327;3,9029;103,0789;0,8295;151,17;1625,39;0,3575;10,5615;;61,5465;21,8135;66,8316;117,1441;4,3904;37,1807;3,4062;35,4385
2025-09-11 10:00:00;4,2919;;8,3253;3,9008;103,3439;0,8282;150,97;1627,35;0,3571;10,5473;;61,5334;21,775;66,8562;117,1553;4,384;37,2191;3,4026;35,4371
2025-09-11 11:00:00;4,2912;;8,3227;3,9005;103,3262;0,8281;150,94;1626,76;0,357;10,5465;;61,5293;21,7637;66,8448;117,1536;4,3833;37,2092;3,402;35,431
