Timestamp;EURUSDFIXMP=WM;EURGBPFIXMP=WM;EURCHFFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM;EURPLNFIXMP=WM;EURAUDFIXMP=WM;EURCADFIXMP=WM;EURDKKFIXMP=WM;EURHKDFIXMP=WM;EURJPYFIXMP=WM;EURNOKFIXMP=WM;EURNZDFIXMP=WM;EURRONFIXMP=WM;EURSEKFIXMP=WM;EURSGDFIXMP=WM;EURTRYFIXMP=WM;EURZARFIXMP=WM
2025-08-19 10:00:00;1,168;0,864;0,94117;24,466;393,67;4,2439;1,79997;1,6141;7,4644;9,113;172,58;11,8998;1,972;5,0574;11,1333;1,4987;47,8014;20,5819
2025-08-19 11:00:00;1,1687;0,86436;0,9411;24,46;393,6;4,2447;1,80091;1,61413;7,4643;9,1181;172,61;11,9258;1,9732;5,0586;11,143;1,4993;47,8336;20,5571
2025-08-20 10:00:00;1,1645;0,86253;0,9401;24,495;394,94;4,2535;1,80935;1,6159;7,465;9,0998;171,73;11,9516;1,9974;5,0611;11,1669;1,497;47,6963;20,6208
2025-08-20 11:00:00;1,1646;0,86311;0,94018;24,484;394,43;4,248;1,81021;1,61592;7,4649;9,1005;171,74;11,9573;1,999;5,0596;11,1679;1,4971;47,7001;20,6189
2025-08-21 10:00:00;1,1657;0,86485;0,93874;24,523;395,73;4,2506;1,81404;1,61753;7,4642;9,1078;172,13;11,8682;2,0002;5,0574;11,1681;1,4997;47,8418;20,6276
2025-08-21 11:00:00;1,165;0,86494;0,93882;24,53;395,81;4,2538;1,81238;1,61708;7,4642;9,1024;172,23;11,859;1,9997;5,0555;11,1698;1,4992;47,8129;20,6324
2025-08-22 10:00:00;1,1597;0,86467;0,93878;24,587;396,17;4,2636;1,80653;1,61359;7,4645;9,0676;172,45;11,8548;1,9979;5,0533;11,1839;1,4952;47,6054;20,4747
2025-08-22 11:00:00;1,1596;0,86462;0,938;24,584;396,08;4,2622;1,80693;1,61374;7,4648;9,0669;172,36;11,8516;1,9979;5,0532;11,1803;1,4948;47,601;20,4565
2025-08-25 10:00:00;1,1692;0,86643;0,93817;24,543;397,61;4,2661;1,8021;1,61716;7,4646;9,1329;172,31;11,827;1,9956;5,0545;11,1454;1,5007;47,9774;20,5137
2025-08-25 11:00:00;1,1687;0,86635;0,93812;24,549;397,64;4,2634;1,80077;1,61682;7,464;9,1288;172,31;11,8255;1,9947;5,0537;11,1379;1,5004;47,9592;20,4997
2025-08-26 10:00:00;1,1642;0,86368;0,93811;24,544;396,72;4,2631;1,79494;1,61211;7,4646;9,0816;171,77;11,8333;1,9908;5,0552;11,1662;1,497;47,8066;20,5272
2025-08-26 11:00:00;1,1644;0,86393;0,93827;24,539;396,93;4,2618;1,79581;1,61285;7,4643;9,0834;171,85;11,845;1,9908;5,0556;11,1644;1,4972;47,8177;20,5462
2025-08-27 10:00:00;1,1591;0,86223;0,93516;24,53;396,42;4,2683;1,79108;1,60574;7,4649;9,023;171,52;11,7964;1,9883;5,0627;11,1184;1,4937;47,6103;20,5649
2025-08-27 11:00:00;1,1581;0,86252;0,9347;24,538;396,9;4,2718;1,79106;1,60418;7,4649;9,014;171,54;11,7936;1,9892;5,0627;11,1099;1,4934;47,5709;20,5708
2025-08-28 10:00:00;1,1649;0,8627;0,93297;24,542;397,02;4,2639;1,78638;1,60387;7,4651;9,0803;171,4;11,7534;1,9862;5,0672;11,0726;1,4961;47,9735;20,6179
2025-08-28 11:00:00;1,1671;0,86311;0,93321;24,54;396,86;4,2632;1,78784;1,60597;7,4647;9,0968;171,5;11,7544;1,9872;5,0658;11,0806;1,4975;48,0627;20,6162
2025-08-29 10:00:00;1,16745;0,86715;0,93548;24,491;397,08;4,268;1,78824;1,60594;7,4644;9,1002;171,71;11,7533;1,9831;5,0728;11,06;1,5003;48,0407;20,7233
2025-08-29 11:00:00;1,1667;0,86666;0,93616;24,468;397,05;4,2667;1,78736;1,60433;7,4641;9,095;171,76;11,7438;1,9822;5,0727;11,0546;1,4996;48,0098;20,7173
2025-09-01 10:00:00;1,172;0,86616;0,9369;24,424;395,43;4,254;1,7874;1,61013;7,4647;9,1384;172,4;11,7264;1,9831;5,0721;11,0252;1,504;48,2291;20,5945
2025-09-01 11:00:00;1,172;0,86654;0,93678;24,44;395,26;4,2552;1,78754;1,61013;7,4645;9,1381;172,41;11,7351;1,9841;5,0725;11,0247;1,5041;48,2215;20,6052
2025-09-02 10:00:00;1,1638;0,86844;0,93686;24,476;396,31;4,2665;1,78744;1,60306;7,4635;9,0846;172,87;11,6442;1,9874;5,0793;11,0041;1,4994;47,9444;20,6231
2025-09-02 11:00:00;1,1632;0,86945;0,93579;24,481;395,94;4,2673;1,78652;1,60223;7,463;9,0801;172,84;11,6433;1,9863;5,0806;10,9977;1,4988;47,917;20,6125
2025-09-03 10:00:00;1,1657;0,86937;0,93664;24,448;393,72;4,2518;1,7846;1,60836;7,4633;9,0948;173,15;11,6853;1,9877;5,0777;11,0025;1,5018;48,0356;20,5506
2025-09-03 11:00:00;1,1644;0,86879;0,93676;24,438;393,4;4,2523;1,78343;1,60691;7,4633;9,0855;173,12;11,6842;1,987;5,0792;10,9971;1,5008;47,9797;20,5344
2025-09-04 10:00:00;1,1642;0,86616;0,93718;24,45;393,84;4,2543;1,78613;1,60881;7,4644;9,0792;172,69;11,7562;1,987;5,077;11,0158;1,501;48,0612;20,7109
