Timestamp;EURAED=R;EURBAM=R;EURCNY=;EURILS=TRB;EURINR=;EURJOD=R;EURKES=;EURKRW=R;EURKWD=R;EURMAD=;EURMDL=R;EURMKD=R;EURMXN=TRB;EURPHP=R;EURRSD=R;EURSAR=R;EURTHB=;EURTNDX=R;EURTWD=R
2025-08-18 10:00:00+00:00;4,29025;1,96075;8,3857;3,9584;102,04;0,82815;150,97;1618,585;0,35685;10,5341;19,47;61,555;21,9743;66,5965;117,16;4,3829;37,9266;3,3617;35,07655
2025-08-18 11:00:00+00:00;4,2906;1,9608;8,38675;3,9594;102,0619;0,8282;150,875;1618,75;0,3569;10,5341;19,47;61,55;21,9719;66,564;117,16;4,38325;37,9115;3,36195;35,0772
2025-08-19 10:00:00+00:00;4,2904;1,96085;8,3877;3,9491;101,5604;0,82815;150,91;1623,35;0,35705;10,53;19,52;61,55;21,943;66,711;117,18;4,3834;37,9691;3,36275;35,1645
2025-08-19 11:00:00+00:00;4,2934;1,96065;8,3927;3,9501;101,7086;0,82875;151,025;1623,425;0,3573;10,5303;19,53;61,55;21,9545;66,8015;117,175;4,3864;37,9792;3,3635;35,17685
2025-08-20 10:00:00+00:00;4,2771;1,96095;8,35835;3,961;101,3936;0,82565;150,515;1628,495;0,3559;10,5033;19,585;61,555;21,9022;66,3405;117,18;4,37;37,9103;3,35855;35,24475
2025-08-20 11:00:00+00:00;4,2784;1,9606;8,36015;3,9606;101,4209;0,8259;150,44;1629,975;0,356;10,5065;19,585;61,55;21,9057;66,3645;117,18;4,3713;37,9195;3,35885;35,2635
2025-08-21 10:00:00+00:00;4,2803;1,96075;8,3665;3,983;101,6867;0,8262;150,56;1629,34;0,3562;10,51995;19,62;61,55;21,8898;66,4945;117,18;4,3733;38,01375;3,36005;35,5548
2025-08-21 11:00:00+00:00;4,2798;1,9609;8,36255;3,9824;101,6736;0,82615;150,55;1629,115;0,3562;10,51995;19,62;61,57;21,8796;66,52;117,175;4,3725;38,035;3,3602;35,54795
2025-08-22 10:00:00+00:00;4,26;1,9609;8,3279;3,9451;101,5144;0,8223;149,85;1614,02;0,35485;10,4995;19,535;61,565;21,7342;66,141;117,18;4,352;37,862;3,35195;35,4311
2025-08-22 11:00:00+00:00;4,2593;1,9607;8,3266;3,9445;101,472;0,8222;149,835;1613,095;0,3548;10,4991;19,535;61,555;21,7147;66,092;117,175;4,3512;37,847;3,35565;35,41685
2025-08-25 10:00:00+00:00;4,29485;1,96065;8,3689;3,9548;102,4298;0,82905;151,43;1622,67;0,3571;10,5328;19,55;61,54;21,8044;66,3655;117,175;4,3874;37,93825;3,35605;35,6313
2025-08-25 11:00:00+00:00;4,293;1,9607;8,36495;3,9519;;0,8287;151,07;1621,78;0,35695;10,5305;19,54;61,55;21,796;66,3155;117,175;4,3855;37,9321;3,3546;35,63005
2025-08-26 10:00:00+00:00;4,276;1,96055;8,33595;3,9298;102,0916;0,82545;150,765;1625,075;0,3558;10,5277;19,43;61,55;21,7136;66,2915;117,185;4,3683;37,83065;3,35835;35,56515
2025-08-26 11:00:00+00:00;4,2771;1,96085;8,3379;3,9207;;0,82565;150,805;1624,985;0,3559;10,5154;19,435;61,55;21,7257;66,3365;117,2;4,3693;37,8359;3,3592;35,58945
2025-08-27 10:00:00+00:00;4,2562;1,9607;8,29945;3,8778;101,7984;0,8216;149,66;1619,885;0,35435;10,495;19,155;61,54;21,7023;66,3015;117,18;4,3482;37,63495;3,35935;35,49755
2025-08-27 11:00:00+00:00;4,25285;1,96065;8,2932;3,8747;101,744;0,82095;149,605;1619,14;0,3541;10,49525;19,14;61,55;21,6948;66,2955;117,19;4,3448;37,63175;3,3528;35,485
2025-08-28 10:00:00+00:00;4,27895;1,96075;8,3099;3,8686;102,079;0,82595;150,515;1615,63;0,356;10,52375;19,415;61,855;21,7362;66,527;117,18;4,3717;37,7175;3,3585;35,5628
2025-08-28 11:00:00+00:00;4,28705;1,9606;8,32505;3,8817;102,2584;0,82755;150,805;1617,03;0,3565;10,52445;19,45;61,975;21,74;66,6145;117,18;4,3799;37,7565;3,3606;35,58675
2025-08-29 10:00:00+00:00;4,28755;1,9609;8,32595;3,8972;102,9578;0,82765;150,745;1624,69;0,3567;10,5285;19,45;62,03;21,8317;66,751;117,195;4,37995;37,8173;3,36225;35,66215
