Timestamp;EURUSDFIXMP=WM;EURGBPFIXMP=WM;EURCHFFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM;EURPLNFIXMP=WM;EURAUDFIXMP=WM;EURCADFIXMP=WM;EURDKKFIXMP=WM;EURHKDFIXMP=WM;EURJPYFIXMP=WM;EURNOKFIXMP=WM;EURNZDFIXMP=WM;EURRONFIXMP=WM;EURSEKFIXMP=WM;EURSGDFIXMP=WM;EURTRYFIXMP=WM;EURZARFIXMP=WM
2025-08-18 10:00:00;1,16805;0,8625;0,94305;24,4725;395,725;4,251;1,7934;1,61165;7,4639;9,13665;172,1881;11,918;1,96725;5,05935;11,181;1,4981;47,7601;20,56495
2025-08-18 11:00:00;1,16815;0,8628;0,9429;24,469;395,6;4,2515;1,79395;1,6115;7,4639;9,1326;172,22035;11,897;1,9674;5,05935;11,1705;1,49815;47,76125;20,5828
2025-08-19 10:00:00;1,168;0,864;0,9412;24,467;393,725;4,24325;1,79985;1,61415;7,46455;9,1136;172,5895;11,9005;1,97165;5,05775;11,134;1,49865;47,76185;20,5816
2025-08-19 11:00:00;1,16885;0,86435;0,9411;24,462;393,525;4,244;1,80085;1,61435;7,4646;9,1192;172,6684;11,92745;1,9731;5,0587;11,144;1,49955;47,7972;20,5586
2025-08-20 10:00:00;1,1645;0,8625;0,94005;24,493;394,95;4,25275;1,8092;1,6159;7,46475;9,10025;171,72885;11,95;1,99705;5,06105;11,164;1,49695;47,6546;20,6189
2025-08-20 11:00:00;1,16475;0,86315;0,9404;24,484;394,4;4,24825;1,8103;1,61625;7,46485;9,1018;171,7482;11,9565;1,99905;5,05945;11,168;1,4972;47,66245;20,62335
2025-08-21 10:00:00;1,1655;0,8649;0,9387;24,529;395,75;4,25075;1,81415;1,6176;7,464;9,1062;172,12685;11,868;2,0;5,0573;11,168;1,4997;47,71555;20,6279
2025-08-21 11:00:00;1,16515;0,86485;0,9392;24,534;395,825;4,254;1,81195;1,61745;7,4641;9,1035;172,26745;11,858;1,99905;5,05545;11,1695;1,4994;47,70125;20,63335
2025-08-22 10:00:00;1,15975;0,86465;0,9389;24,5865;396,2;4,2635;1,8066;1,61365;7,46445;9,0674;172,4722;11,855;1,998;5,0536;11,183;1,4953;47,56715;20,4725
2025-08-22 11:00:00;1,1596;0,86465;0,93805;24,582;396,075;4,26175;1,80665;1,61375;7,4646;9,06685;172,36295;11,8495;1,99755;5,0533;11,1795;1,49475;47,56015;20,45245
2025-08-25 10:00:00;1,1693;0,8665;0,93815;24,541;397,525;4,26575;1,80185;1,61735;7,46435;9,134;172,3139;11,828;1,99535;5,0542;11,1445;1,50065;47,9407;20,511
2025-08-25 11:00:00;1,16885;0,86635;0,9383;24,549;397,6;4,26325;1,80055;1,6171;7,4642;9,1298;172,33525;11,826;1,99465;5,054;11,1385;1,5005;47,9252;20,5031
2025-08-26 10:00:00;1,16425;0,86365;0,9382;24,543;396,775;4,26275;1,795;1,6123;7,46435;9,08215;171,7909;11,833;1,9907;5,05515;11,1655;1,49715;47,76485;20,52715
2025-08-26 11:00:00;1,16455;0,86415;0,93855;24,538;396,975;4,262;1,79575;1,61305;7,46405;9,0847;171,8876;11,844;1,9905;5,0555;11,164;1,4973;47,77945;20,5485
2025-08-27 10:00:00;1,159;0,8622;0,93525;24,5295;396,425;4,268;1,79095;1,60565;7,4646;9,0223;171,5726;11,794;1,98815;5,06255;11,1185;1,49365;47,5683;20,56935
2025-08-27 11:00:00;1,15785;0,8625;0,9346;24,5355;396,9;4,27175;1,79055;1,60395;7,46465;9,0117;171,5065;11,7886;1,9889;5,0622;11,1115;1,4931;47,5228;20,5649
2025-08-28 10:00:00;1,16485;0,86275;0,9329;24,5455;396,975;4,2635;1,78645;1,6043;7,46505;9,0803;171,41355;11,753;1,9861;5,0672;11,0705;1,4961;47,82175;20,6164
2025-08-28 11:00:00;1,16715;0,8631;0,9333;24,54;396,875;4,2635;1,78775;1,60635;7,4648;9,09735;171,49515;11,7545;1,98695;5,0658;11,081;1,4976;47,91445;20,6192
2025-08-29 10:00:00;1,16745;0,86735;0,93555;24,49;397,05;4,26775;1,78825;1,60595;7,4645;9,1005;171,72605;11,751;1,9831;5,07295;11,061;1,5002;48,04055;20,7237
2025-08-29 11:00:00;1,16675;0,86665;0,93635;24,4695;397,075;4,26725;1,78745;1,6044;7,4643;9,0952;171,7631;11,7425;1,98225;5,07265;11,0535;1,4997;48,0115;20,71565
2025-09-01 10:00:00;1,1719;0,8661;0,93685;24,432;395,525;4,254;1,78715;1,6101;7,46485;9,1379;172,39825;11,7255;1,98275;5,0724;11,0255;1,50385;48,1871;20,59175
2025-09-01 11:00:00;1,17195;0,8665;0,9368;24,4385;395,225;4,2555;1,78735;1,6102;7,4648;9,13755;172,44655;11,738;1,984;5,0725;11,026;1,50405;48,1812;20,60435
2025-09-02 10:00:00;1,16375;0,86855;0,937;24,4805;396,175;4,26675;1,78725;1,60305;7,46335;9,0836;172,88085;11,644;1,9871;5,07905;11,0035;1,49935;47,89995;20,626
2025-09-02 11:00:00;1,16325;0,86965;0,9359;24,482;395,975;4,2675;1,78645;1,6023;7,4633;9,08045;172,87055;11,6435;1,9863;5,08045;11,001;1,49875;47,8794;20,6215
2025-09-03 10:00:00;1,1656;0,86935;0,93675;24,447;393,725;4,25175;1,78455;1,6082;7,46305;9,0941;173,1557;11,684;1,98755;5,07755;11,0025;1,50165;47,98395;20,54955
2025-09-03 11:00:00;1,16445;0,86875;0,9368;24,438;393,375;4,25225;1,78335;1,607;7,4632;9,08595;173,15955;11,681;1,98695;5,0792;10,998;1,50095;47,934;20,53365
2025-09-04 10:00:00;1,16435;0,86635;0,9373;24,449;393,85;4,25425;1,78625;1,60925;7,46425;9,0805;172,7022;11,757;1,9871;5,0768;11,015;1,5012;47,9386;20,71095
2025-09-04 11:00:00;1,16525;0,86645;0,938;24,4375;393,075;4,2505;1,78735;1,61045;7,46435;9,08805;172,77745;11,768;1,98865;5,0763;11,016;1,50185;47,9783;20,7145
2025-09-05 10:00:00;1,16875;0,86695;0,93865;24,4325;392,925;4,254;1,78585;1,61235;7,46505;9,11925;173,1737;11,74;1,9887;5,07865;10,999;1,504;48,2159;20,67085
2025-09-05 11:00:00;1,16935;0,86755;0,9389;24,4265;393,05;4,25225;1,78705;1,613;7,46505;9,12385;173,23335;11,7495;1,99005;5,07815;11,0015;1,5043;48,24095;20,66385
2025-09-08 10:00:00;1,17245;0,86785;0,93375;24,3745;393,4;4,25275;1,78115;1,62;7,46595;9,1371;173,2471;11,7245;1,9793;5,07175;11,0145;1,50565;48,38085;20,57795
2025-09-08 11:00:00;1,17265;0,86665;0,93275;24,366;393,525;4,25325;1,7801;1,619;7,4659;9,13935;173,32355;11,7;1,977;5,07195;10,99425;1,50605;48,3894;20,5932
2025-09-09 10:00:00;1,1768;0,8661;0,933;24,3175;393,7;4,25275;1,77805;1,6243;7,46695;9,16555;172,2423;11,727;1,9753;5,0733;10,9995;1,50645;48,57215;20,55865
2025-09-09 11:00:00;1,1754;0,86575;0,93285;24,3165;393,275;4,2535;1,77705;1,6233;7,46685;9,15235;172,16085;11,717;1,9738;5,07415;11,003;1,50515;48,51435;20,5254
2025-09-10 10:00:00;1,17145;0,86495;0,93345;24,386;393,65;4,259;1,77265;1,62235;7,46555;9,12475;172,701;11,6235;1,9693;5,0729;10,943;1,50275;48,36245;20,55895
2025-09-10 11:00:00;1,17;0,86415;0,9336;24,3755;393,6;4,26175;1,77205;1,62145;7,46565;9,11335;172,54575;11,615;1,9699;5,07345;10,9435;1,50155;48,30285;20,554
2025-09-11 10:00:00;1,16855;0,86545;0,9342;24,423;393,05;4,267;1,7692;1,62245;7,4651;9,102;172,92205;11,601;1,9711;5,071;10,951;1,50145;48,25495;20,5066
2025-09-11 11:00:00;1,16845;0,8645;0,93445;24,4025;392,975;4,2675;1,76865;1,62225;7,465;9,10185;172,8897;11,6095;1,9709;5,0715;10,959;1,5014;48,25025;20,49605
2025-09-12 10:00:00;1,17225;0,8653;0,93475;24,3435;391,525;4,25825;1,7624;1,6224;7,4647;9,1237;173,4051;11,584;1,96835;5,0694;10,946;1,5038;48,4957;20,36345
2025-09-12 11:00:00;1,17345;0,86545;0,9347;24,314;390,875;4,253;1,7647;1,62355;7,4643;9,13205;173,3831;11,5835;1,97035;5,07035;10,9415;1,50515;48,5453;20,3579
2025-09-15 10:00:00;1,17485;0,86425;0,9345;24,33;389,6;4,2475;1,76525;1,62505;7,4645;9,13915;173,13765;11,559;1,9724;5,0635;10,933;1,50585;48,53595;20,3719
2025-09-15 11:00:00;1,1754;0,8638;0,93445;24,333;389,775;4,24825;1,76575;1,625;7,4645;9,14285;173,24225;11,561;1,973;5,064;10,916;1,5061;48,55375;20,3917
2025-09-16 10:00:00;1,1814;0,866;0,93475;24,3165;389,8;4,24975;1,77185;1,6263;7,4646;9,19315;173,62445;11,614;1,9781;5,0624;10,936;1,5095;48,8039;20,5165
2025-09-16 11:00:00;1,18095;0,8666;0,9343;24,324;390,05;4,25125;1,77145;1,6254;7,46495;9,1905;173,6528;11,603;1,9775;5,0629;10,932;1,50945;48,7732;20,50425
2025-09-17 10:00:00;1,18455;0,8679;0,93175;24,3245;389,8;4,2535;1,77525;1,6292;7,4644;9,20965;173,3056;11,631;1,982;5,0667;10,958;1,512;48,9062;20,59045
2025-09-17 11:00:00;1,1836;0,86755;0,93145;24,323;390,05;4,25475;1,77465;1,6282;7,4643;9,20345;173,11925;11,629;1,9811;5,0679;10,9595;1,511;48,87795;20,5754
2025-09-18 10:00:00;1,18385;0,86745;0,9327;24,3255;388,675;4,25675;1,7793;1,6308;7,46445;9,20755;174,35155;11,612;2,0043;5,06925;10,982;1,51395;48,91435;20,5442
2025-09-18 11:00:00;1,1836;0,86695;0,9329;24,3125;388,625;4,25475;1,77835;1,6302;7,4644;9,20515;174,3265;11,579;2,00425;5,0683;10,976;1,5136;48,896;20,50585
2025-09-19 10:00:00;1,176;0,8709;0,93495;24,2825;390,925;4,265;1,78085;1,6244;7,46405;9,145;174,00685;11,654;2,00155;5,07155;11,0495;1,51;48,68315;20,40945
2025-09-19 11:00:00;1,1761;0,8714;0,93515;24,2775;390,7;4,2635;1,7809;1,6239;7,46395;9,14575;174,004;11,654;2,0017;5,07425;11,0435;1,51015;48,67845;20,4112
2025-09-22 10:00:00;1,17755;0,87205;0,9354;24,267;389,425;4,26425;1,78495;1,6262;7,46345;9,15015;174,13025;11,685;2,00895;5,07475;11,0545;1,511;48,73375;20,34655
2025-09-22 11:00:00;1,1775;0,8722;0,93465;24,2545;389,225;4,26075;1,78535;1,62565;7,46355;9,1502;174,07575;11,6955;2,00975;5,0751;11,048;1,51065;48,72995;20,3472
2025-09-23 10:00:00;1,18015;0,87385;0,93465;24,253;389,025;4,25475;1,78665;1,6322;7,4643;9,1745;174,21375;11,6705;2,01235;5,07725;10,9925;1,51415;48,8806;20,41955
2025-09-23 11:00:00;1,17965;0,87315;0,93465;24,2535;388,85;4,2565;1,7852;1,63105;7,4643;9,17165;174,25205;11,661;2,01065;5,0772;10,978;1,51385;48,8558;20,4168
2025-09-24 10:00:00;1,1768;0,8732;0,9346;24,289;390,525;4,26575;1,77965;1,63235;7,4638;9,15155;174,5018;11,6825;2,01365;5,07805;11,02;1,5137;48,7928;20,3101
